"","no_anp","titulo","empresa_responsavel","demais_proponentes","qualificacao","objetivo","area","tema","subtema","empresa_petrolifera_executora","empresa_brasileira_executora","instituicao_executora","unidade_de_pesquisa_executora","n_autorizacao","data_inicio","prazo","valor_clausula","executor_1"
"2765","22912-0","ML para dados de gás durante a perfuração","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Aprendizado de Máquina para predição de atributos relativos a gás na operação de perfuração.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES","PETROBRAS",NA,NA,NA,NA,"01/11/2021",30,"R$ 1959530,00",NA
"2766","22913-8","Otimização e simulação de operações da cadeia de suprimentos de apoio logístico offshore com uso de pesquisa operacional e técnicas de inteligência artificial","SHELL","SHELL","PESQUISA APLICADA","O objetivo do projeto é entender e estudar possíveis cenários e gargalos processuais e operacionais envolvidos nas operações de apoio logístico offshore, desenvolvendo uma solução capaz de analisar e sugerir otimizações na realização das operações, atividades, roteirização de entregas e movimentação de recursos, além de fornecer ambiente onde seja possível a simulação de cenários baseados em demandas ainda não existentes.","TEMAS TRANSVERSAIS","DISTRIBUIÇÃO, LOGÍSTICA E TRANSPORTE","LOGÍSTICA","SHELL","GAPSO SERVICOS DE INFORMATICA LTDA;ACCENTURE DO BRASIL LTDA",NA,NA,NA,"25/07/2022",36,"R$ 16738819,18",NA
"2767","22914-6","Produção de bioQAv e olefinas lineares de cadeia longa a partir de biodiesel e corte C4 de FCC","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O projeto """"OLEFINAS C10-C13 PARA PRODUÇÃO DE QUÍMICOS"""", mostrou-se bastante promissor tecnologicamente por realizar a coprodução de olefinas lineares e ésteres com cadeia carbônica na faixa C10-C15. O objetivo deste projeto é a melhoria da tecnologia e redução dos custos para produção de matérias-primas de lubrificantes, detergentes e bioQAv, a partir de insumos mais convenientes e de menor preço.","BIOCOMBUSTÍVEIS","BIOQUEROSENE DE AVIAÇÃO","PRODUÇÃO DE BIOQUEROSENE",NA,NA,"UFMG","UFMG - Laboratório de Catálise Organometálica",NA,"25/07/2022",24,"R$ 1445146,42","UFMG"
"2768","22915-3","Sensibilidade da Permeabilidade Relativa em matriz e fraturas à pressão efetiva","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Estudo do efeito do estado de tensão e configuração do sistema de fraturas nas curvas de permeabilidade relativa das fases água e óleo em meios porosos heterogêneos.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ENGENHARIA DE RESERVATÓRIO (SIMULAÇÃO DE FLUXO)",NA,NA,"PUC-Rio","PUC-Rio - Laboratório de microhidrodinâmica e escoamento em meios porosos",NA,"25/07/2022",48,"R$ 17090677,57","PUC-Rio"
"2769","22916-1","Desenvolvimento de aplicações e mercado para avanço de CRL de solvente de alto ponto de ebulição (SAPE)","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolvimento da aplicação do solvente SAPE em tintas látex base água e em produtos de limpeza pesada, visando elevar a maturidade comercial de CRL4 para CRL7.","TEMAS TRANSVERSAIS","MATERIAIS","TECNOLOGIA DE MATERIAIS",NA,NA,"SENAI-RS;SENAI-RJ","SENAI-RS - Instituto SENAI de Inovação em Engenharia de Polímeros;SENAI-RJ - INSTITUTO SENAI DE INOVAÇÃO EM BIOSSINTÉTICOS_OFICIAL",NA,"25/07/2022",8,"R$ 420183,83","SENAI-RS;SENAI-RJ"
"2770","22917-9","Desenvolvimento de programa numérico utilizando o Método dos Pontos Materiais (MPM), para a simulação paralela de escorregamentos submarinos em 3-D e sua interação com equipamentos e estruturas","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Fornecer métricas relevantes acerca de simulações numéricas de escorregamentos submarinos para auxiliar na elaboração de relatórios para licenciamento ambiental de novos campos de exploração offshore, antecipando a entrega do estudo de Geohazards. Dentre essas informações destacam-se: a evolução das características do solo durante o processo de escorregamento; possíveis rotas de fluxo; determinação das estruturas do campo que podem ser atingidas; e a quantificação das forças de impacto.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GEOMECÂNICA/ESTABILIZAÇÃO DE POÇOS",NA,NA,"UFAL","UFAL - Laboratório de Computação Científica e Visualização - LCCV/UFAL",NA,"27/07/2022",36,"R$ 5142249,40","UFAL"
"2771","22918-7","Análise de interação fluido-estrutura em banco de tubos de caldeiras","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo geral da presente proposta é avaliar a capacidade máxima de produção de uma caldeira de recuperação submetida à vibração induzidas por vórtices.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS",NA,NA,"UFU","UFU - Laboratório de Mecânica dos Fluídos",NA,"28/07/2022",36,"R$ 2981627,65","UFU"
"2772","22919-5","Identificar as possíveis causas da redução na injetividade de água e consequente aumento de pressão, observado durante ensaios de permeabilidade relativa em regime transiente em amostras de carbonato do Pré-sal - PERMEAR II.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Identificar as possíveis causas da redução na injetividade de água e consequente aumento de pressão observada durante ensaios de permeabilidade relativa em regime transiente em amostras de carbonatos do Pré-sal.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ENGENHARIA DE RESERVATÓRIO (SIMULAÇÃO DE FLUXO)",NA,NA,"PUC-RS","PUC-RS - Instituto do Petróleo e dos Recursos Naturais",NA,"27/07/2022",24,"R$ 1842924,25","PUC-RS"
"2773","22920-3","DOMANDO RESERVATÓRIOS COM APRENDIZADO DE MÁQUINA: DA SÍSMICA ÀS LÂMINAS PETROGRÁFICAS (PHYSICS_DRIVEN_DL)","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Propor soluções para entendimento e caracterização de reservatórios de rochas sedimentares do pré-sal brasileiro. Utilizar modelos de redes neurais de arquiteturas profundas, algoritmos de machine learning associadas a modelagem physics-driven e uso de ambientes multi-gpus em workflows otimizados e competitivos com o mercado de óleo e gás. Analisar dados de petrografia digital, perfis, ressonância magnética e imageamento sísmico para compreensão de modelos geológicos do pré-sal brasileiro.","TEMAS TRANSVERSAIS","MATERIAIS","TECNOLOGIA DE MATERIAIS",NA,NA,"CBPF","CBPF - Laboratório de Computação e Processamento de Imagens (CAT/CBPF)",NA,"29/07/2022",51,"R$ 7500000,00","CBPF"
"2774","22921-1","Cubo de Difrações em Mero","PETROBRAS","PETROBRAS","PROTÓTIPO OU UNIDADE PILOTO","Aplicar em projeto piloto o programa Difrac ZO, desenvolvido em colaboração com a Unicamp gerando Cubo de Difrações do campo de Mero para análise de zonas fraturadas, carstes e Vulcanicas. Avaliar o potencial do cubo de difrações obtidos pela metodologia na caracterização de reservatórios","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS EM ESCALA DE RESERVATÓRIO","PETROBRAS",NA,NA,NA,NA,"01/02/2021",3,"R$ 96075,72",NA
"2775","22922-9","Mapa de proveniência do Albo-Cenomaniano das Bacias Potiguar e Ceará","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Mapa de proveniência do Albo-Cenomaniano das Bacias Potiguar e Ceará","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES","PETROBRAS",NA,NA,NA,NA,"08/03/2022",17,"R$ 3468040,00",NA
"2776","22923-7","Realidade virtual para treinamento de processos","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Desenvolvimento de simulador em realidade virtual, criando metodologia para treinamento de processos da indústria de Oil&Gas, em umambiente seguro e intuitivo.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","UNIDADES FLUTUANTES DE PRODUÇÃO, SISTEMAS DE ANCORAGEM E AMARRAÇÃO E POSICIONAMENTO DINÂMICO","PETROBRAS",NA,NA,NA,NA,"15/04/2021",12,"R$ 40858,34",NA
"2777","22924-5","Reconstrução do modelo de preenchimento por CO2 no pré-sal","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Disponibilização de modelo conceitual de passagem de CO2 baseado nas inclusões fluidas, que inclui: (i) Quantificação do teor de CO2 e CH4 anterior a saturação de hidrocarbonetos nos reservatórios; (ii) Amarração dos momentos de passagem de CO2 com eventos diagenéticos/hidrotermais.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES","PETROBRAS",NA,NA,NA,NA,"04/10/2021",38,"R$ 4811633,03",NA
"2778","22925-2","Modelo Prospectivo para Avaliação de Ciclo de Vida - ACV Digital","PETROBRAS","PETROBRAS","PESQUISA EM MEIO AMBIENTE","Desenvolvimento de modelos de Ciclo de vida dos produtos Petrobras, do poço ao portão, parametrizáveis para simular alterações nos processos e seus impactos nas emissões de ciclo de vida de cada produto.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","EMISSÕES DE GASES DE EFEITO ESTUFA NA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS","PETROBRAS",NA,NA,NA,NA,"25/10/2021",26,"R$ 886408,00",NA
"2779","22926-0","Desenvolvimento de tratamentos biocidas em sistemas de injeção (água do mar/água produzida) e sua padronização.","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Definição de parâmetros de tratamento biocida e monitoramento da contaminação microbiana em sistemas de água de injeção (água do mar/água produzida) e especificação técnica de produtos biocidas, frequência, dosagem e pontos de aplicação.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MEDIÇÃO DA PRODUÇÃO - NOVAS TECNOLOGIAS E PROCEDIMENTOS","PETROBRAS",NA,NA,NA,NA,"25/03/2022",44,"R$ 6220920,00",NA
"2780","22927-8","Caracterização de Amostras de Interesse do E&P e do Refino por Ressonância Magnética Nuclear","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O desenvolvimento de métodos baseados em Ressonância Magnética Nuclear para determinação de parâmetros moleculares e a inferência de propriedades físico-químicas de petróleo se mostram promissores para o objetivo de redução de: volumes de amostra, tempo laboratorial e custo, além de fornecer algumas informações úteis para a tomada de decisão e perspectiva de valoração que tradicionalmente não são contempladas no crude oil assay.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS","PETROBRAS",NA,NA,NA,NA,"01/02/2021",14,"R$ 767850,00",NA
"2781","22928-6","Métodos moleculares e avaliação de eficiência de biocidas","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Desenvolvimento de protocolos de coleta de amostras e métodos de análise microbiológica em complementação ou substituição ao método do Número Mais Provável (NMP), o qual é atualmente utilizado no Índice de Qualidade da Água de Injeção (IQUAI), no monitoramento da biocorrosão em dutos (N-2785) e nos testes de eficiência biocida realizados pelo Cenpes.","TEMAS TRANSVERSAIS","MATERIAIS","CORROSÃO E PROTEÇÃO","PETROBRAS",NA,NA,NA,NA,"01/02/2021",22,"R$ 1316630,00",NA
"2782","22929-4","Ressonância Magnética Nuclear (RMN) como ferramenta não destrutiva para verificação de degradação de materiais de dutos flexíveis compósitos (PEEK e PVDF).","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","avaliação de envelhecimento de materiais propostos para os dutos flexíveis em compósitos de forma a verificar eventuais modificações em nível molecular não cobertos por técnicas convencionais, viabilizando gestão de integridade, simplificaçõesde requisitos de qualificação e reduzindo o tempo de entrega","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","RISERS, UMBILICAIS E DUTOS SUBMARINOS","PETROBRAS",NA,NA,NA,NA,"01/02/2021",34,"R$ 1019040,00",NA
"2783","22930-2","Primeiro Modelo Magnetoestratigráfico para o Intervalo Jiquiá-Alagoas, Bacia de Santos","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Caracterização da polaridade e origem do sinal magnético de testemunhos de poços que compreendem o intervalo entre os andares locais Jiquiá e Alagoas. O perfil magnetoestratigráfico gerado estará calibrado com os dados de bioestratigrafia e quimioestratigrafia dos poços selecionados - perfil biocronomagnetoestratigráfico. Com isto, se fará uma correlação entre os andares locais Petrobras (Jiquiá e Alagoas) e os andares da Escala de Tempo Geológico Internacional.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GEOFÍSICA DE RESERVATÓRIO","PETROBRAS",NA,NA,NA,NA,"30/12/2021",12,"R$ 1644780,00",NA
"2784","22931-0","SimBR: Thermal Tool 2.0","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolvimento  e aperfeiçoamento de ferramentas para reconstrução da história térmica, considerando os diversos processos geológicos envolvidos na evolução de Bacias sedimentares.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES","PETROBRAS",NA,NA,NA,NA,"26/01/2022",21,"R$ 2660320,00",NA
"2785","22932-8","Controle da tectônica Cenozoica sobre os padrões de deformação e de sedimentação na Região Sudeste do Brasil, onshore e offshore","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Investigar como os eventos tectônicos cenozoicos conhecidos nas bacias sedimentares e no embasamento continentais da região Sudeste do Brasil se manifestam offshore, afetando a distribuição e a deformação nas megassequências sedimentares nas porções norte da bacia de Santos e sul da bacia de Campos a partir do Paleoceno. Isso será feito a partir da integração de dados geofísicos (gravimetria e sísmica) e geológicos (poços estratigráficos, datações e mapas de superfície) onshore e offshore.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES","PETROBRAS",NA,NA,NA,NA,"11/07/2022",51,"R$ 3919260,00",NA
"2786","22933-6","Liner Polimérico para DRS de injeção WAG","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolvimento de tecnologia de DRS com liner polimérico para serviços de injeção WAG.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","RISERS, UMBILICAIS E DUTOS SUBMARINOS","PETROBRAS",NA,NA,NA,NA,"29/09/2021",46,"R$ 25721900,00",NA
"2787","22934-4","Determinação da umidade em condições de injeção de correntes gasosas ricas em CO2","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","Desenvolver modelos termodinâmicos para estimativa do teor de umidade para condições de baixos teores de umidade e em correntes de injeção ricas em CO2 a partir de dados experimentais coletados em laboratório.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS","PETROBRAS",NA,NA,NA,NA,"08/07/2022",43,"R$ 1971760,00",NA
"2788","22935-1","Nova geração de distribuidores de AR para Regeneradores de FCC com redução de erosão e quebra de catalisador","PETROBRAS","PETROBRAS","PROTÓTIPO OU UNIDADE PILOTO","Desenvolvimento de Nova Configuração de Distribuidores de AR otimizando a disposição e a geometria dos bocais através de fluidodinâmica computacional e experimentos físicos. Desenvolvimento para os distribuidores de AR dos regeneradores, que também é  aplicado aos distribuidores de vapor encontrados em  """"strippers"""" e """"risers"""" das unidades de FCC.","ABASTECIMENTO","REFINO","OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS","PETROBRAS",NA,NA,NA,NA,"04/04/2022",26,"R$ 518580,00",NA
"2789","22936-9","Otimização e Controle de Qualidade para Migrações de Tiro Comum","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Metodologia capaz de determinar parametrização ótima levando em consideração a entrada de completa de dados e as ferramentas de Supertiro (agrupamento de tiros) e Reconstrução de Tiros (dados regularizados).","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS","PETROBRAS",NA,NA,NA,NA,"09/05/2022",15,"R$ 357900,00",NA
"2790","22937-7","Desenvolvimento da ferramenta SimSub","PETROBRAS","PETROBRAS","PESQUISA EM TIC","O SimSub é uma ferramenta web para submissão de análises de riser em ambientes HPC, substituindo, ao final da entrega, a solução anterior (Infogrid).
A entrega abarca, em diferentes fases, a integração da ferramenta com os clusters Linux (fase 1) e Windows (fase 3) disponíveis, assim como o desenvolvimento de uma API Rest (fase 2) para integração com outras aplicações do SubWeb, entre elas o AnflexOpt e sua adaptação (fase 4).","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","RISERS, UMBILICAIS E DUTOS SUBMARINOS","PETROBRAS",NA,NA,NA,NA,"04/05/2022",8,"R$ 885210,00",NA
"2791","22938-5","Sistemas inteligentes para otimização da produção em tempo real para plataformas offshore","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Sistema inteligente de otimização da produção em tempo real por meio do ajuste automático de variáveis de processo do topside, tendo como feedback medições de pressão do poço.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO","PETROBRAS",NA,NA,NA,NA,"29/07/2022",26,"R$ 820100,00",NA
"2792","22939-3","Mecanismo diverless de 2ª geração para suportação de risers flexíveis (BSDL-SI & TSUDL)","PETROBRAS","PETROBRAS","PROTÓTIPO OU UNIDADE PILOTO","Desenvolvimentos de sistemas automatizados simplificados para Sistemas de Suportação de Riser (redução de custo dos equipamentos & otimização de operações por ROV)","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","RISERS, UMBILICAIS E DUTOS SUBMARINOS","PETROBRAS",NA,NA,NA,NA,"01/08/2022",33,"R$ 3035400,00",NA
"2793","22940-1","Ferramenta Digital de Projeto e Análise de Suportes de Risers","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolvimento de ferramenta digital para avaliação de Suportes Risers:
- Avaliação de cargas estáticas (anual, centenária, acidental)
- Avaliação de fadiga
- Metodologia para avaliação de suportes com defeitos","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","RISERS, UMBILICAIS E DUTOS SUBMARINOS","PETROBRAS",NA,NA,NA,NA,"01/08/2022",44,"R$ 6370240,00",NA
"2794","22941-9","Pig instrumentado autopropelido para SCR e SLWR","PETROBRAS","PETROBRAS","PROTÓTIPO OU UNIDADE PILOTO","Implantar tecnologia de pig instrumentado autopropelido para inspeção dos dutos rígidos das plataformas Cid Paraty, Cid Ilhabela e Cid Sao Paulo","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","INTEGRIDADE DE EQUIPAMENTOS E INSTALAÇÕES","PETROBRAS",NA,NA,NA,NA,"09/08/2022",35,"R$ 4123271,48",NA
"2795","22942-7","MONITORAMENTO EM TEMPO REAL DOS SISTEMAS DE REMOÇÃO DE SULFATO POR MEMBRANAS","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Ferramenta de monitoramento das unidades de remoção de sulfatos por membranas utilizando modelagem fenomenológica e/ou baseada em dados.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO","PETROBRAS",NA,NA,NA,NA,"29/06/2022",42,"R$ 1319176,15",NA
"2796","22943-5","Aplicação da Tecnologia de Separação Supersônica em Ambiente Submarino na Área de Libra Central","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","O Separador Supersônico tem potencial de aplicação em campos com alta RGO por ser compacto e em aplicaç","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS","PETROBRAS",NA,NA,NA,NA,"06/07/2022",1,"R$ 24993,36",NA
"2797","22944-3","Planta Piloto de Sensores Sísmicos de Longa Residência no Assoalho Oceânico: OD OBN - Fase 2A.2","SHELL","SHELL","INFRAESTRUTURA","Aquisição de equipamentos, máquinas e serviços para montagem de planta piloto de lote piloto de sensores sísmicos.
Obj. Específicos
¿ Especificar equipamentos que serão utilizados na produção dos nós;
¿ Adquirir os equipamentos, por critérios técnicos e econômicos;
¿ Acompanhar instalação e testes de aceitação;
¿ Reforma espaço de galpão p/ acomodação da linha de anodização;
¿ Sincronizar projetos de infraestrutura de forma a conciliar a instalação com as obras civis.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","CARACTERIZAÇÃO E ENGENHARIA DE RESERVATÓRIOS",NA,NA,"SENAI-BA","SENAI-BA - SENAI CIMATEC","0932/2022","12/12/2022",18,"R$ 29090691,51","SENAI-BA"
"2798","22945-0","Capacitação do LRAP para Análise Técnicas de Restauração de Molhabilidade para Determinação de Permeabilidade Relativa em Condições Representativas dos Reservatórios do Pré-Sal Brasileiro (INFRAESTRUTURA)","PETROBRAS","PETROBRAS","INFRAESTRUTURA","Este projeto de infraestrutura tem por objetivo fornecer os meios adequados ao desenvolvimento das atividades de PD&I do projeto intitulado """"Avaliação do impacto da molhabilidade na permeabilidade relativa"""", em fase de contratação.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","RECUPERAÇÃO MELHORADA DE PETRÓLEO",NA,NA,"UFRJ","UFRJ - LRAP - Laboratório de Recuperação Avançada de Petróleo","0711/2022","28/12/2022",36,"R$ 813463,53","UFRJ"
"2799","22946-8","Planta Piloto de Sensores Sísmicos de Longa Residência no Assoalho Oceânico: OD OBN - Fase 2A.3","SHELL","SHELL","INFRAESTRUTURA - NOVA EDIFICAÇÃO OU ACRÉSCIMO DE ÁREA","Construção de galpões para implantação planta piloto para fabricação e montagem de lote piloto de sensores sísmicos.
Objetivos Específicos
¿ Contratar empreiteira para construção de 2 galpões da Linha de Montagem e da Linha de Usinagem;
¿ Sincronizar os projetos de infraestrutura Shell e Petrobras de forma a conciliar a aquisição de e instalação de equipamentos com as obras civis.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","CARACTERIZAÇÃO E ENGENHARIA DE RESERVATÓRIOS",NA,NA,"SENAI-BA","SENAI-BA - SENAI CIMATEC","0847/2022","21/11/2022",18,"R$ 29509769,83","SENAI-BA"
