Nº ANP;TITULO;EMPRESA RESPONSÁVEL;DEMAIS PROPONENTES;QUALIFICAÇÃO;OBJETIVO;ÁREA;TEMA;SUBTEMA;EXECUTOR 1;EXECUTOR 2;EXECUTOR 3;EXECUTOR 4;EXECUTOR 5;EXECUTOR 6;EXECUTOR 7;EXECUTOR 8;Nº AUTORIZAÇÃO;DATA INÍCIO;PRAZO;VALOR CLAUSULA
22333-9;Sistema de CBM para Segurança de Poço;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;"Plug-in para o RTO Live que ofereça regras de interpretação dos dados monitorados do BOP para orientar as atividades de manutenção. 
O parâmetro afetado será o custo na construção e intervenção em poços pela redução do downtime em sondas por falhas de BOP";EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;MANUTENÇÃO E INSPEÇÃO - SEGURANÇA;PETROBRAS;;;;;;;;;01/02/2021;36; R$ 591,970.40 
22334-7;Diagnóstico de falhas e Estimativa da Confiabilidade de sensores submarinos (TPT, PT, PDG);PETROBRAS;;PESQUISA EM TIC;Prover sistemas  coputacionais, centrados no desenvolvimento de algoritmos e de software, para o monitoramento contínuo da condição operacional de sensores submarinos, com diagnósticos de falhas e com identificação de parâmetros de confiabilidade, e para a análise de interferências eletromagnéticas em cabos de transmissão submarinos, com seus impactos em sensores.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO;PETROBRAS;;;;;;;;;01/02/2021;12; R$ 283,750.38 
22335-4;Desenvolvimento de novas metodologias para calibração de medidores fiscais com Inmetro;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;O projeto proposto visa avaliar metrologicamente os métodos e as condições de calibração especificadas no Regulamento Técnico de Medição de Petróleo e Gás Natural (RTM), aprovado pela Resolução Conjunta ANP/Inmetro nº 001/2013, aplicável aos medidores de vazão utilizados nas operações de medição fiscal, transferência de custódia e apropriação (fundamentalmente), de petróleo e gás natural.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;MEDIÇÃO DA PRODUÇÃO - NOVAS TECNOLOGIAS E PROCEDIMENTOS;PETROBRAS;;;;;;;;;01/02/2021;48; R$ 1,392,166.00 
22336-2;Aplicação da Medição Multifásica em projetos de DP;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Realizar a aplicação da medição multifásica nos novos projetos do desenvolvimento da produção para a realização da medição para apropriação de poços atendendo ao regulamento técnico ANP 44/2015.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;MEDIÇÃO DA PRODUÇÃO - NOVAS TECNOLOGIAS E PROCEDIMENTOS;PETROBRAS;;;;;;;;;01/02/2021;60; R$ 1,419,196.80 
22337-0;Ferramentas de diagnóstico para VORECON;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Caracterização dinâmica de variadores hidráulicos de velocidade (VORECON), produção e validação de modelos rotodinâmicos.;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;PETROBRAS;;;;;;;;;01/02/2021;34; R$ 480,077.28 
22338-8;ROSS v1.0.0 - Software de análise rotodinâmica;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolver Software de rotodinâmica totalmente em linguagem aberta (Python) em plataforma colaborativa (GitHub), possibilitando implementação de novos componentes nos modelos, realização de análises de maneira automatizada e fácil integração com outras ferramentas.;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;PETROBRAS;;;;;;;;;01/02/2021;10; R$ 42,359.76 
22339-6;Algoritmo para monitoração de selos à gás;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;O objetivo principal do projeto é a criação de mapas de segurança de operação dos selos secos a gás atualmente em uso pela Petrobras. Além da criação dos citados mapas, o presente projeto objetiva a criação de procedimentos e técnicas que permitam a criação desses mapas de segurança.;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;PETROBRAS;;;;;;;;;01/02/2021;11; R$ 61,186.32 
22340-4;Critérios de purgas para otimização da soldagem em aço inoxidável;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Avaliação do efeito de diferentes tipos de purga na resistência a corrosão de juntas soldadas, assim como quantificação de valores máximos de oxigênio permitidos para cada material.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;PETROBRAS;;;;;;;;;01/02/2021;33; R$ 893,120.46 
22341-2;Metodologia para Avaliação e Otimização do Uso de Inibidores para Corrosão Preferencial;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Estudar a corrosão preferencial decorrente de micro células galvânicas entre regiões das juntas soldadas. Estudar a susceptibilidade de juntas soldadas de dutos e equipamentos submarinos fabricados em aço-carbono ao fenômeno. Especificar adequadamente os consumíveis para a soldagem de dutos e equipamentos submarinos susceptíveis ao fenômeno e formas de mitigar o problema. Estabelecer metodologia para avaliar a necessidade de inibidores de corrosão ou a otimizar as dosagens mínimas necessárias.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;PETROBRAS;;;;;;;;;01/02/2021;12; R$ 78,943.40 
22342-0;Suporte à manutenção, operação e inspeção com uso da REALIDADE AUMENTADA;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Verificar a viabilidade e desempenho das tecnologias de assistencia remota e realidade aumentada existentes no mercado aplicado em unidades offshore de Óleo&Gás.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO;PETROBRAS;;;;;;;;;01/02/2021;24; R$ 1,109,876.00 
22343-8;Delta EVA SIMCARR;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolvimento de modelos que contemplam a circulação de tampões de limpeza transiente, efeito de rotação na limpeza do poço, PMCD e FMCD, transmissibilidade de pressão. Implantação desses modelos no simulador de carreamento de cascalhos SIMCARR;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;PERFURAÇÃO E COMPLETAÇÃO - TÉCNICAS E TECNOLOGIAS;PETROBRAS;;;;;;;;;01/02/2021;18; R$ 206,395.20 
22344-6;CROSS;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Redução de problemas relacionados a falta de prontidão de recursos, redução de HH envolvido no acompanhamento de consumo de recursos, consolidação de demanda de recursos e planejamento de processo de contratação;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;METODOLOGIAS E SISTEMAS DE CONTROLE DA QUALIDADE;PETROBRAS;;;;;;;;;01/02/2021;36; R$ 547,380.00 
22345-3;Riser Rígido em Catenária Amortecido (D-SCR);PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Estudos para viabilização de Risers Rígidos em Catenária com Amortecedores Hidrodinâmicos nas condições operacionais da Bacia de Santos, com redução de CAPEX devido à redução de flutuadores e do comprimento total de tubos, em relação à alternativa hoje existente.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;PETROBRAS;;;;;;;;;01/01/2021;24; R$ 1,693,322.92 
22346-1;"Procedimentos de soldagem qualificados  ""Stud Welding""";PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Qualificar procedimentos de soldagem para viabilizar a utilização do processo de soldagem ¿Stud Welding¿ para fixação de componentes em pisos, tetos de tanques de carga, teto de casario e para movimentação de cargas em Unidades Estacionárias de Produção, visando maior rapidez e segurança na movimentação de componentes e na fixação de componentes em tetos de tanque de carga. Além disso, evitar operações dispendiosas como inertização de tanques e retirada de revestimentos internos de casarios.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;PETROBRAS;;;;;;;;;01/02/2021;48; R$ 430,521.84 
22347-9;SSD para enquadramento de TOG;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolver um algoritmo de análise de TOG para uso nas plataformas no processamento primário de petróleo, que faça a predição dos valores de TOG onshore (TOG Gravimétrico para fins de fiscalização) a partir de valores de TOG offshore (TOG utilizados no controle do processo) e de outras variáveis preditoras.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;GERENCIAMENTO DE ÁGUA PRODUZIDA;PETROBRAS;;;;;;;;;01/02/2021;24; R$ 238,239.36 
22348-7;Metamodelos para Análise Riser;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;"Desenvolvimento de ferramentas computacionais para análise de risers com foco na redução do custo computacional.
Os principais objetivos são:
- Redução de custos de projeto e antecipação de produção (tempo de projeto).
- Suporte à implementação de tecnologias digitais tais como ¿Machine Learning¿ e ¿Digital Twins¿.";EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;PETROBRAS;;;;;;;;;01/02/2021;24; R$ 600,508.62 
22349-5;Otimização de dados oceanográficos para projetos;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Consolidar as metodologias de otimização de dados metocean em ferramentas computacionais (programas) para facilitar a elaboração de ETs metocean e outros documentos para projetos e operações da PETROBRAS, considerando a evolução do conhecimento e as normas vigentes.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;UNIDADES FLUTUANTES DE PRODUÇÃO, SISTEMAS DE ANCORAGEM E AMARRAÇÃO E POSICIONAMENTO DINÂMICO;PETROBRAS;;;;;;;;;01/02/2021;28; R$ 1,402,005.72 
22350-3;Carac. de Bactérias e Parâmetros envolvidos na CIM em Dutos;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;O objetivo principal é desenvolver uma metodologia para a predição da CIM (corrosão influenciada por microrganismos) em dutos a partir de dados de campo, do desenvolvimento de ensaios de laboratório estáticos e dinâmicos (loop) para identificação dos parâmetros críticos envolvidos, e de um monitoramento e diagnóstico mais preciso da ocorrência da CIM.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;PETROBRAS;;;;;;;;;01/02/2021;42; R$ 769,152.78 
22351-1;Tratam. Quím p/ Hibernação de Dutos Rígidos com Água do Mar;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Este estudo visa avaliar o impacto de diferentes parâmetros, tais como, temperatura e presença ou ausência de teor de óleos e graxas (TOG) na eficiência e persistência de produtos químicos (sequestrantes de oxigênio e biocida) aplicados em operações de hibernação de dutos submarinos com água do mar, indicando os produtos e dosagens apropriadas para a garantia da integridade dos dutos durante hibernação para um período de tempo a ser determinado pelo estudo.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;PETROBRAS;;;;;;;;;01/02/2021;42; R$ 319,893.84 
22352-9;Ferramenta de obtenção de falhas;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolvimento, implementação e validação de algoritmos de aprendizado de máquinas para localização e classificação de falhas em volumes sísmicos;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;PETROBRAS;;;;;;;;;01/02/2021;24; R$ 307,074.24 
22353-7;Plataforma de modelagem, processamento, inversão e interpretação.;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolver uma plataforma de modelagem, processamento, inversão e interpretação multifísica.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;PETROBRAS;;;;;;;;;01/02/2021;48; R$ 388,107.72 
22354-5;FFS-Compósito;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;O projeto tem como objetivo principal o desenvolvimento de uma metodologia confiável para avaliação da integridade estrutural de vasos de pressão de material compósito para utilização na área de óleo e gás.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;PETROBRAS;;;;;;;;;01/02/2021;21; R$ 343,080.36 
22355-2;Guideline para seleção de ligas de Ni e ligas CRA;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Estabelecer limites de utilização para ligas de níquel de alta resistência em fixadores e equipamentos submarinos, assim como uma base de dados de tenacidade em meio agressivo para análises de adequação ao uso e garantia da integridade;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;PETROBRAS;;;;;;;;;01/02/2021;36; R$ 544,572.00 
22356-0;Metodologias para síntese de malha de controle;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolvimento de metodologias e ferramentas computacionais voltadas para a síntese de malhas de controle de unidades industriais.;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;PETROBRAS;;;;;;;;;01/02/2021;50; R$ 398,064.73 
22357-8;Recon Paleorrelevo;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolvimento de algoritmo computacional para processar cenários multisseção de restaurações geológicas de forma integrada.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;PETROBRAS;;;;;;;;;01/02/2021;41; R$ 1,173,916.80 
22358-6;Incorporar gênese de bandas de deformação no SIGEO;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Implementação computacional de um simulador analítico para a predição de bandas de deformação (BD) em reservatórios de arenitos porosos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;GEOLOGIA DE RESERVATÓRIO;PETROBRAS;;;;;;;;;01/02/2021;17; R$ 433,658.61 
22359-4;Liner Polimérico para dutos rígidos submarinos;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Qualificação da tecnologia de liner em polímero para dutos de injeção de água, subsidiando posterior qualificação (futura) para WAG e PO. Como objetivos específicos, podemos citar a celebração de TEA com empresas parceiras potenciais para maior aprofundamento da maturidade (TRL&CRL) da tecnologia, além de realização de pesquisa ampla de mercado (RFI), resultando em posterior confecção de especificação técnica da Petrobras para subsidiar processos comerciais de uso da tecnologia.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;PETROBRAS;;;;;;;;;01/02/2021;22; R$ 143,767.01 
22360-2;Ferramentas de Baixo Custo para Inspeção de Dutos Rígidos Submarinos;PETROBRAS;;PROTÓTIPO OU UNIDADE PILOTO;Desenvolver e implantar na companhia tecnologias de inspeção simplificadas, a serem aplicadas internamente ao duto, carreadas pelo fluxo, que permitam um acompanhamento do estado de corrosão interna/externa dos dutos rígidos submarinos com um baixo custo.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;INTEGRIDADE DE EQUIPAMENTOS E INSTALAÇÕES;PETROBRAS;;;;;;;;;01/02/2021;29; R$ 501,299.24 
22361-0;Sistema Preditor 4.0: Monitoramento de Motores de Indução Trifásicos através da Análise da Assinatura Elétrica (ESA);PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Projeto visa à criação de uma unidade piloto para monitoramento de uma amostra significativa das bombas de captação de água determinando-se: as particularidades de instalação do sistema na plataforma, as particularidades da integração do sistema com o supervisório das bombas e as características particulares das assinaturas elétricas destas bombas em relação a seu histórico de falhas.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;PETROBRAS;;;;;;;;;17/05/2021;12; R$ 42,353.32 
22362-8;Caracterização de petróleos no Digital Twin;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;"A entrega visa adaptar algoritmo de caracterização molecular já existente e implantar metodologia para caracterizar cada corte estreito ou fração de petróleo por intermédio de um conjunto de moléculas hipotéticas, de forma que as principiais propriedades ""bulk"" sejam representadas (erros inferiores a uma determinada tolerância). A melhor representação das cargas deve se traduzir em uma melhor otimização e maior captura de valor no refino.";ABASTECIMENTO;REFINO;OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS;PETROBRAS;;;;;;;;;01/02/2021;18; R$ 609,060.06 
22363-6;Ferramenta de Scheduling - fase 1;PETROBRAS;;PROTÓTIPO OU UNIDADE PILOTO;Acompanhar a configuração da ferramenta de programação de produção (scheduluer) adquirida pela Petrobras, capacitando o corpo técnico para futuras implementações, customizações e manutenção dos modelos, bem como desenvolver metodologia que possibilite avaliar os ganhos tangíveis e intangíveis advindos do uso da ferramenta nas refinarias da Petrobras.;ABASTECIMENTO;REFINO;PROCESSAMENTO DE PETRÓLEO;PETROBRAS;;;;;;;;;01/02/2021;30; R$ 296,824.50 
22364-4;Ferramenta de Scheduling - fase 2;PETROBRAS;;PROTÓTIPO OU UNIDADE PILOTO;Desenvolver metodologias e ferramentas computacionais que possibilitem a integração da ferramenta de programação de produção comercial (scheduler) com as camadas de planejamento de produção e com o sistema de simulação rigoroso do gêmeo digital (Digital Twin) e identificar oportunidades de utilização de otimizador dedicado a solução de problemas de programação de produção (scheduling).;ABASTECIMENTO;REFINO;PROCESSAMENTO DE PETRÓLEO;PETROBRAS;;;;;;;;;01/02/2021;30; R$ 636,052.50 
22365-1;Implementação de Modelos de alocação ótima de catalisadores em UFCC;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Melhoria dos modelos de previsão de desempenho catalítico de simuladores de unidades de RFCC que utilizam flushing em qualquer proporção e qualidade. A aplicação destes modelos se dá tanto pela melhoria do modelo de aderência do Digital Twin das RFCCs, quando pela definição da reposição ótima de catalisadores virgens e flushing nas UFCCs e URFCCs através da implementação deste novo modelo no modelo linear de programação do refino (PLANAB).;ABASTECIMENTO;REFINO;OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS;PETROBRAS;;;;;;;;;01/02/2021;4; R$ 667,626.60 
22366-9;Uso de bio-óleo como óleo combustível;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Introduzir o bio-óleo como insumo energético nas operações de refino, com foco na queima em caldeira.;BIOCOMBUSTÍVEIS;BIOCOMBUSTÍVEIS AVANÇADOS (2ª, 3ª, 4ª GERAÇÃO);PROCESSOS DE PRODUÇÃO;PETROBRAS;;;;;;;;;01/02/2021;48; R$ 4,108,395.36 
22367-7;Coprocessamento de bio-óleo em UCR;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolvimento de tecnologia de coprocessamento de bio-óleo em Unidades de Coqueamento Retardado visando a produção de combustíveis com conteúdo renovável, agregando sustentabilidade através da redução de emissões em relação ao combustível fóssil.;BIOCOMBUSTÍVEIS;ENERGIA A PARTIR DE OUTRAS FONTES DE BIOMASSA;OUTROS PROCESSAMENTOS DE BIOMASSA;PETROBRAS;;;;;;;;;01/02/2021;60; R$ 3,807,744.94 
22368-5;Formulação para biomarítimos;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolvimento de formulação de bunker com conteúdo renovável a partir de bio-óleo estabilizado visando adequação da mistura.;BIOCOMBUSTÍVEIS;BIOCOMBUSTÍVEIS AVANÇADOS (2ª, 3ª, 4ª GERAÇÃO);PROCESSOS DE PRODUÇÃO;PETROBRAS;;;;;;;;;01/02/2021;48; R$ 5,627,336.00 
22369-3;Scale-up de tecnologia para produção de biocombustível avançado;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;A EV 00024, visa o escalonamento  da tecnologia de conversão de cargas ácidas para biocombustível permitindo a geração de valor para a Petrobras através do licenciameto (processo e catalisador). A tecnologia foi demostrada com sucesso até TRL5 e possui grande atratividade para o setor de biodiesel, permitindo a sua integração em uma usina de biodiesel com processo tradicional.;BIOCOMBUSTÍVEIS;BIODIESEL;PRODUÇÃO DE BIODIESEL;PETROBRAS;;;;;;;;;01/02/2021;18; R$ 725,130.61 
22370-1;Equacionamento do hidrotratamento de naftas para produção de gasolina S10;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Propor soluções tecnológicas para adequar o parque de refino à produção contínua de gasolina com concentração de enxofre de 10 ppm, envolvendo o tratamento de nafta de destilação, a dessulfurização da nafta craqueada e a reforma catalítica de nafta.;ABASTECIMENTO;REFINO;PROCESSAMENTO DE PETRÓLEO;PETROBRAS;;;;;;;;;01/02/2021;23; R$ 2,032,740.94 
22371-9;Partida da unidade integrada;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolver a tecnologia para produção de etanol 2G, identificando e atuando nos gargalos do processo e de escalonamento para subsidiar decisões técnicas e econômicas sobre a implantação de unidade integrada de etanol 1G-2G.;BIOCOMBUSTÍVEIS;BIOETANOL;PRODUÇÃO DE BIOETANOL;PETROBRAS;;;;;;;;;01/02/2021;60; R$ 8,079,195.03 
22372-7;Aumento da conversão de fundos em FCC através da implementação de catalisador Denali;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;A atividade de pesquisa tem por objetivo produzir comercialmente no Brasil e avaliar o desempenho catalítico de catalisador produzido pela tecnologia DENALI em refinaria da Petrobras;ABASTECIMENTO;REFINO;SISTEMAS CATALÍTICOS;PETROBRAS;;;;;;;;;01/02/2021;17; R$ 3,899,713.64 
22373-5;Aumento da produção de propeno em FCC através de campanhas petroquímicas;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Aumento da produção de propeno em FCC através da realização de campanhas petroquímicas, ou seja, máxima severidade, considerando os limites de projeto das unidades e utilização de até 10% de aditivo à base de ZSM-5 no sistema catalítico das U-FCCs.;ABASTECIMENTO;PETROQUÍMICA DE 1ª E 2ª GERAÇÃO;PROCESSOS PETROQUÍMICOS;PETROBRAS;;;;;;;;;01/02/2021;17; R$ 251,022.31 
22374-3;Uso comercial de depressor de ponto de fluidez em petróleos;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Identificar depressor de ponto de fluidez para aplicação em petróleos do pré-sal;TEMAS TRANSVERSAIS;DISTRIBUIÇÃO, LOGÍSTICA E TRANSPORTE;LOGÍSTICA;PETROBRAS;;;;;;;;;01/02/2021;24; R$ 857,549.90 
22375-0;Solução para escoamento de petróleos sem uso de aditivos;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolver uma metodologia alternativa ao ponto de fluidez, que represente a bombeabilidade dos petróleos.;TEMAS TRANSVERSAIS;DISTRIBUIÇÃO, LOGÍSTICA E TRANSPORTE;LOGÍSTICA;PETROBRAS;;;;;;;;;01/02/2021;30; R$ 2,115,305.74 
